"item_id","sku","item_name","item_cat","item_size","item_price"
"it_001","PIZZ-MARG-R","Pizza Margherita Reg","Pizza","Regular","12"
"it_002","PIZZ-MARG-L","Pizza Margherita Large","Pizza","Large","14"
"it_003","PIZZ-DIAV-R","Pizza Diavola (hot) Reg","Pizza","Regular","16"
"it_004","PIZZ-DIAV-L","Pizza Diavola (hot) Large","Pizza","Large","19"
"it_005","PIZZ-PARM-R","Pizza Parmigiana Reg","Pizza","Regular","15"
"it_006","PIZZ-PARM-L","Pizza Parmigiana Large","Pizza","Large","18"
"it_007","PIZZ-QUAT-R","Pizza Quattro Formaggi Reg","Pizza","Regular","16"
"it_008","PIZZ-QUAT-L","Pizza Quattro Formaggi Large","Pizza","Large","19"
"it_009","PIZZ-NAPO-R","Pizza Napolitana Reg","Pizza","Regular","16"
"it_010","PIZZ-NAPO-L","Pizza Napolitana Large","Pizza","Large","18"
"it_011","PIZZ-PEPP-R","Pizza Pepperoni Reg","Pizza","Regular","15"
"it_012","PIZZ-PEPP-L","Pizza Pepperoni Large","Pizza","Large","17"
"it_013","PIZZ-SEAF-R","Pizza Seafood Reg","Pizza","Regular","17"
"it_014","PIZZ-SEAF-L","Pizza Seafood Large","Pizza","Large","20"
"it_015","PIZZ-HAWA-R","Pizza Hawaiian Reg","Pizza","Regular","15"
"it_016","PIZZ-HAWA-L","Pizza Hawaiian Large","Pizza","Large","17"
"it_017","SIDE-GARL-R","Garlic Bread","Side","Regular","6"
"it_018","SIDE-CHIC-R","Chicken Wings","Side","Regular","7"
"it_019","SIDE-BREA-R","Breadsticks","Side","Regular","5"
"it_020","SIDE-CAES-R","Caesar Salad","Side","Regular","7"
"it_021","DESS-ICE-CHOC","Vanilla Ice cream","Dessert","Regular","6"
"it_022","DESS-ICE-VANI","Chocolate Ice cream","Dessert","Regular","6"
"it_023","DESS-ICE-STRA","Strawberry Ice cream","Dessert","Regular","6"
"it_024","DESS-ICE-PIST","Pistachio Ice cream","Dessert","Regular","6"
"it_025","DESS-CHOC-BROW","Chocolate Brownie","Dessert","Regular","5"
"it_026","DESS-BANO-PIE","Banoffee Pie","Dessert","Regular","7"
"it_027","DESS-FRUI-SALA","Fruit Salad","Dessert","Regular","5"
"it_028","BEVA-CC-REG33","Coca Cola Regular 33cl","Drink","33cl","3"
"it_029","BEVA-CC-REG1500","Coca Cola Regular 1.5l","Drink","1.5l","6"
"it_030","BEVA-CC-DIE33","Coca Cola Diet 33cl","Drink","33cl","3"
"it_031","BEVA-CC-DIE1500","Coca Cola Diet 1.5l","Drink","1.5l","6"
"it_032","BEVA-7U-REG33","Sprite Regular 33cl","Drink","33cl","3"
"it_033","BEVA-7U-REG1500","Sprite Regular 1.5l","Drink","1.5l","6"
"it_034","BEVA-7U-DIE33","Sprite Diet 33cl","Drink","33cl","3"
"it_035","BEVA-7U-DIE1500","Sprite Diet 1.5l","Drink","1.5l","6"
"it_036","BEVA-FAN-REG33","Fanta Regular 33cl","Drink","33cl","3"
"it_037","BEVA-FAN-REG1500","Fanta Regular 1.5l","Drink","1.5l","6"
"it_038","BEVA-FAN-DIE33","Fanta Diet 33cl","Drink","33cl","3"
"it_039","BEVA-FAN-DIE1500","Fanta Diet 1.5l","Drink","1.5l","6"
"it_040","BEVA-SAN-REG33","San Pelligrino 33cl","Drink","33cl","2"
"it_041","BEVA-SAN-REG1500","San Pelligrino 1.5l","Drink","1.5l","4"
"it_042","BEVA-PER-REG33","Perrier 33cl","Drink","33cl","2"
"it_043","BEVA-PER-REG1500","Perrier 1.5l","Drink","1.5l","4"
